Product name,Price (€),Category
Foot bath for sleep,31.7,Foot baths
Foot bath to warm the body - Nuan shen qu han zu yu bao,11.9,Foot baths
Foot bath for cycle disorders - Wen gong nuan jing zu yu bao,11.9,Foot baths
Foot bath for the vitality of men - Nan shi wen shen zu yu bao,11.9,Foot baths
Foot bath for postpartum recovery - Chan hou hui fu zu yu bao,11.9,Foot baths
Foot bath for circulation and joints - Shu jin huo luo zu yu bao,31.7,Foot baths
Foot bath for tone and slimming - Bu qi shou shen,31.7,Foot baths
Organic whole mallow flower,11.9,Bio
Organic whole caraway seeds,6.9,Bio
Angelica Roots Cut Bio,8.9,Bio
Organic purple coneflower cut aerial parts,7.9,Bio
Black Radish Roots Cut Bio,8.9,Bio
Organic whole black psyllium seeds,7.9,Bio
Organic whole linden bracts,17.9,Bio
Organic whole chaste tree fruits,7.9,Bio
Comfrey,7.9,Bio
Lavender flowers Bio - Xun yi cao,9.9,Bio
Common Thyme Leaves Bio,7.9,Bio
Elder Flowers Sifted Bio,8.9,Bio
Organic whole cornflower blossoms,12.9,Bio
Elder Berries Bio,7.9,Bio
Organic whole guarana seeds,11.9,Bio
Organic whole eucalyptus leaves,7.9,Bio
Winter Savory Leaves Bio,6.9,Bio
Peppermint Aerial Parts Cut Bio,7.9,Bio
Nettle Root Cut Bio,8.5,Bio
Organic whole green anise fruits,9.9,Bio
Horsetail Cut Bio,9.9,Bio
Oregano / Wild Marjoram Leaves Bio,7.9,Bio
Turmeric Roots Cut Bio,6.9,Bio
Organic whole bitter orange buds,13.9,Bio
Organic lemon verbena broken leaves,18.9,Bio
Artichoke leaves cut Bio,7.9,Bio
Organic blackcurrant fruits,9.9,Bio
Lime Tree Sapwood Cut Bio,8.9,Bio
Ceylon Cinnamon Powder Bio,7.9,Bio
Lemon Balm Leaves Cut Bio,9.9,Bio
Cranberry Seeds Cut Bio,5.9,Bio
Jasmine Flowers Bio,39.9,Bio
Coriander leaves cut Bio,8.9,Bio
Organic Milk Thistle Whole Seeds,6.9,Bio
Passionflower Cut Bio,8.9,Bio
Nettle Roots Cut Bio,7.9,Bio
Angelica Leaves Cut Bio,9.9,Bio
Chia seed bio,9.9,Bio
Marshmallow Roots Cut Bio - Racine de Guimauve,7.9,Bio
Hibiscus flowers cut Bio,7.9,Bio
Common Sage Leaves Cut Bio,7.9,Bio
Organic hawthorn flowering tops cut,7.9,Bio
Pumpkin Seeds Bio,8.9,Bio
Licorice sticks Bio,9.9,Bio
Organic cut eucalyptus leaf,7.9,Bio
Valerian Roots Cut Bio,8.9,Bio
Lemon Scented Thyme Leaves Bio,7.9,Bio
Mulberry Leaf Cut Bio,17.9,Bio
Reishi mushroom – Emperors’ Mushroom - Ling zhi,10.9,Mushroom
Almond mushroom - Ji song rong,12.8,Mushroom
Oyster mushroom - Ping gu,8.3,Mushroom
Nameko - Hua zi gu,9.8,Mushroom
Shaggy mane - Mao tou gui san,9.3,Mushroom
Snow fungus - Mu er (xue),10.7,Mushroom
King oyster mushroom - Xing bao gu,8.3,Mushroom
Judas' ear - Mu er (hei),10.9,Mushroom
Dictyophora - Zhu sun,4.9,Mushroom
Shiitake - Xiang gu,9.9,Mushroom
Maitake - Hui shu hua,10.4,Mushroom
Lion's Mane - Hou tou gu,11.9,Mushroom
Silver Ear Mushroom - Mu er (yin),10.9,Mushroom
Chanterelle - Ji you gu,9.8,Mushroom
Button mushroom - Mo gu,8.9,Mushroom
