Product name,Price (€),Category
White peony - Bai shao yao,11.5,Articulations and muscles
Taxillus Branch - Sang ji sheng,10.8,Articulations and muscles
Japanese Honeysuckle Vine - Ren dong teng,9.8,Articulations and muscles
Cat's claw - Gou teng,10.9,Articulations and muscles
White Ox Knee root - Niu xi (Huai),9.9,Articulations and muscles
Bone Health Formula - Jian gu qu shi wan,38.9,Articulations and muscles
Millettia root and vine - Ji xue teng,27.7,Articulations and muscles
Eleutherococcus root bark - Wu jia pi,9.9,Articulations and muscles
Clematis Root - Wei ling xian,9.9,Articulations and muscles
Uric Acid Formula - Tong feng wan,37.9,Articulations and muscles
Mu gua wan,26.9,Articulations and muscles
Du huo ji sheng tang,29.9,Articulations and muscles
Si miao san,27.9,Articulations and muscles
Foot bath for circulation and joints - Shu jin huo luo zu yu bao,31.7,Articulations and muscles
Pine Knot - Song jie,9.9,Articulations and muscles
Eucommia - Du zhong,9.9,Articulations and muscles
Mobility formula - Chai hu jian zhou wan,37.9,Articulations and muscles
Fern - Gu sui bu,10.9,Articulations and muscles
Nettle leaves - Feuilles d'Ortie,9.9,Articulations and muscles
Joint comfort herbal tea - Bai shao zhi tong tang,11.9,Articulations and muscles
Ash - Frêne,9.4,Articulations and muscles
Mulberry tree stems - Sang zhi,9.7,Articulations and muscles
Kadsura Pepper stem - Hai feng teng,9.6,Articulations and muscles
Shoulder Mobility Herbal Tea - Sang zhi sheng shi tang,10.9,Articulations and muscles
Quince - Mu gua,9.9,Articulations and muscles
Harpagophytum,9.9,Articulations and muscles
Joint comfort formula - Bai shao zhi tong san,37.9,Articulations and muscles
Star Jasmine liana - Luo shi teng,9.6,Articulations and muscles
Small-leafed knotweed - Yuan zhi (zhi),12.9,Calm and well-being
White peony - Bai shao yao,11.5,Calm and well-being
Memory and Concentration Herbal Tea - Yuan zhi chang pu san,13.8,Calm and well-being
"Rose Buds – Gentleness, Lightness & Inner Circulation - Mei gui hua",11.9,Calm and well-being
Organic whole linden bracts,17.9,Calm and well-being
An shen ding zhi wan,29.9,Calm and well-being
Common reed - Lu gen,9.5,Calm and well-being
Lavender flowers Bio - Xun yi cao,9.9,Calm and well-being
Serenity formula - Chai hu ge gen tang,37.9,Calm and well-being
Purple rosebuds - Zi mei gui hua,11.7,Calm and well-being
Tian wang bu xin dan,29.9,Calm and well-being
Ginseng Leaves - Ren shen ye,8.8,Calm and well-being
detox digestive tea - Xiao shi cha,11.9,Calm and well-being
An shen bu xin wan,28.9,Calm and well-being
Stress and overwork formula - An Shen Wan,39.9,Calm and well-being
Foot bath for sleep,31.7,Calm and well-being
Chai hu hu po tang,27.9,Calm and well-being
Gan mai da zao tang,27.9,Calm and well-being
Lily bulb - Bai he,14.6,Calm and well-being
Lotus seeds - Lian zi,10.7,Calm and well-being
Herbal tea to warm the body - Qu han nuan shen cha,26.7,Calm and well-being
Forget-me-not flowers - Wu wang wo,8.9,Calm and well-being
Sleep Formula - An mian wan,37.9,Calm and well-being
Xiao yao san,27.9,Calm and well-being
Peaceful Night Herbal Tea - Gan mai da zao tang,9.9,Calm and well-being
Lotus sprouts - Lian zi xin,8.9,Calm and well-being
Lion's Mane - Hou tou gu,11.9,Calm and well-being
Tong qiao xiao yao san,28.9,Calm and well-being
Passionflower Cut Bio,8.9,Calm and well-being
Bu nao wan,31.9,Calm and well-being
Silk tree - He huan pi,9.7,Calm and well-being
Yuan zhi chang pu san,28.9,Calm and well-being
Bu nao an shen wan,29.9,Calm and well-being
Jia wei xiao yao san,27.9,Calm and well-being
Intellectual Toning Formula - Jia wei zhi pu san,37.9,Calm and well-being
Radix Bupleuri - Chai hu,6.3,Calm and well-being
Rock Reed - Shi chang pu,10.6,Calm and well-being
Knotweed creeper - Ye jiao teng,9.5,Calm and well-being
Senior Memory Herbal Tea - Huang qi bu nao tang,12.8,Calm and well-being
Ginkgo leaves - Yin xing ye,7.9,Calm and well-being
"Daily Essentials Kit – Vitality, Clarity & Sleep",60.3,Calm and well-being
Night Serenity Herbal Tea,19.8,Calm and well-being
Organic St. John’s wort cut aerial parts,9.9,Calm and well-being
Kale Powder – Antioxidant & Nourishing SuperGreen,12.5,Calm and well-being
Organic whole Damask rose buds,9.9,Calm and well-being
Relaxation and Restorative Sleep Herbal Tea - An shen cha,12.5,Calm and well-being
Treasure of Youth Formula - Huang qi sheng mai yin,43.9,Calm and well-being
Spiny bamboo - Zhu ru (jiang),7.9,Respiratory comfort
Plum - Wu Mei,9.8,Respiratory comfort
Lily Flowers - Bai he hua,7.9,Respiratory comfort
Phlegm Formula - Qing fei qu tan wan,38.9,Respiratory comfort
Bitter orange - Feuilles d'Oranger,9.4,Respiratory comfort
Ciliary Poppy - Xiang ru,9.9,Respiratory comfort
Yin qiao pian,28.9,Respiratory comfort
Rhododendron - Man shan hong,7.9,Respiratory comfort
