Product name,Price (€),Product category
Pressure cookers for decoction,38.9,cooker
Porcelain Electrical Multicooker,39.9,cooker
NDTCM Herbariums,90.0,kit
Calebasse Gift Box,10.0,kit
NDTCM Kit Herbarium,395.0,kit
Precision Acupuncture Kit,28.9,kit
Performance Acupuncture Kit,28.9,kit
Essential Cupping Kit,28.9,kit
Serenity Space Kit,374.8,kit
DNMTC herbarium poster,374.8,kit
"Daily Essentials Kit – Vitality, Clarity & Sleep",374.8,kit
Vase for moxa and gua sha in porcelain,19.8,moxibustion
Bamboo moxa box - Zhu zhi ai jiu he,6.5,moxibustion
Needles Picker - Shi Zhen Qi,4.5,moxibustion
Copper Moxa Box - Qian Qiu Du Tong Jiu Qi,14.9,moxibustion
Probe Roller - Shuang Tou Gun Zhen,12.9,moxibustion
Copper moxa box - Wen Jiu Tong Jiu Dou,11.9,moxibustion
Massage and moxa box made of Bian stone,46.0,"moxibustion, new products"
Mini Moxa Paste - Zi Tie Shi Ruo Yan Ai Li,23.9,moxibustion
Wood moxa box,9.9,moxibustion
Moxa Belt - Ai jiu bu dai,2.0,moxibustion
Smokeless Moxibustion box - Ai jiu he,10.8,moxibustion
Moxa tongs,3.6,moxibustion
Porcelain moxa and gua sha vase,12.9,"moxibustion, new products"
Moxa Spoon - Ai Jiu Shao,4.9,moxibustion
Probe Bend - Liu Jiao Er Zhen   Wan,3.4,moxibustion
Moxa Picker - Lv Zhi Shi Ai Qi,2.4,moxibustion
"Superior Moxa Sticklet – Tongbai Origin & Stable, Lasting Warmth - Sui gong tong ai ai tiao",21.9,moxibustion
Moxa stick tube - Zhi zhi ai jiu he,3.4,moxibustion
Moxa Extinguisher - Bu Xiu Gang Mie Jiu Qi,6.5,moxibustion
Probe Double Head - Shuang Tou Tan Xue Bi,6.9,moxibustion
Probe Straight - Liu Jiao Er Zhen   Zhi,3.4,moxibustion
Mini Moxa Paste - Zi Tie Shi Wu Yan Ai Li,25.9,moxibustion
Marteau d'acupuncture magnétique - Ci yuan mei zhen,,acupuncture
Tableau “Neuf aiguilles” - Jiu zhen tu,1.0,acupuncture
Boîte pour aiguilles usagées - Qi zhen he,1.0,acupuncture
Modèle d'exercice pour acupuncture - 8 cm - Zhi li zhi fa lian xi mo xing,1.0,acupuncture
"Boite d’aiguilles semi-permanente (ASP) en acier - 0,35 x 2,1 mm - Qin zhen (yin se) - 0,35 x 2,1 mm",1.0,acupuncture
Livre - L'acupuncture sans aiguille,1.0,acupuncture
Livre - À la découverte de l’Acupuncture spatio-temporelle,1.0,acupuncture
Needles (with tube) -0.22 x 40 mm,13.9,acupuncture
100 knife needles -0.40 x 40 mm,18.8,acupuncture
Knife needles -0.50 x 75 mm,18.8,acupuncture
Knife needles -0.50 x 40 mm,18.8,acupuncture
"Box of semi-permanent steel needles - 0,35 x 2,1 mm - Qin zhen (jin se) - 0,35 x 2,1 mm",30.9,acupuncture
Knife needles -0.50 x 50 mm,18.8,acupuncture
Knife needles -0.60 x 50 mm,18.8,acupuncture
Knife needles -0.40 x 50 mm,18.8,acupuncture
Knife needles -0.50 x 60 mm,18.8,acupuncture
100 needles without tube -0.25 x 13 mm,2.9,acupuncture
Knife needles -0.60 x 75 mm,18.8,acupuncture
Knife needles -0.40 x 25 mm,18.8,acupuncture
Used needle box - Qi zhen he,4.5,acupuncture
500 needles (with tube) - 0.16 x 13 mm,13.9,acupuncture
500 needles (with tube) -0.30 x 75 mm,13.9,acupuncture
